"Resultaten 1-476 van 476 voor 'Status voorkomen=2a,2b,2c,2d,2; Habitat=zoet water,zout water'"

"wetenschappelijke naam"	"populaire naam"	"status voorkomen"	"link"	
"Acartia tonsa Dana, 1848"	"Langsprietroeipootkreeft"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=144375"	
"Acipenser baerii Brandt, 1869"	"Siberische steur"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=174597"	
"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833"	"Diamantsteur"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172304"	
"Acipenser ruthenus Linnaeus, 1758"	"Sterlet"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172305"	
"Acipenser stellatus Pallas, 1771"	"Spitssnuitsteur"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172306"	
"Acorus calamus L."	"Kalmoes"	"2a Exoot (minstens 100 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=118956"	
"Acridotheres ginginianus (Latham, 1790)"	"Oevermaina"	"2c Exoot (minder dan 10 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=172172"	
"Acrochaetium catenulatum M.Howe"	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=116388"	
"Acrochaetium densum (K.M.Drew) Papenf."	""	"2b Exoot (10-99 jaar)"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=116386"	
"Aedes aegypti (Linnaeus, 1762)"	"Gelekoortsmug"	"2d Exoot: Incidentele import"	"http://www.nederlandsesoorten.nl, www.nederlandsesoorten.nl/linnaeus_ng/app/views/species/taxon.php?id=171571"	
