"synonym_id","species_id","synonym_name","identification_reference"
1,3,"Abax ater","Villers, 1789"
2,34,"Abramis brama","Le Sueur, 1819"
3,43,"Lumbrineris pseudofragilis","Amoureux, 1977"
4,54,"Acalles commutatus","Dieckmann, 1982"
5,59,"Vidia squamata","Oudemans, 1909"
6,73,"Carduelis cabaret","Müller, 1776"
7,74,"Carduelis flammea","Linnaeus, 1758"
8,75,"Carduelis hornemanni","Holboell, 1843"
9,89,"Acanthochondria depressa","Scott, 1905"
10,103,"Acanthodelphax spinosus","Fieber, 1866"
11,119,"Acartia intermedia","Poppe, 1885"
12,128,"Acarus farinae","De Geer, 1778"
13,128,"Aleurobius farris","Oudemans, 1902"
14,128,"Tyroglyphus farinae","De Geer, 1778"
15,133,"Acemya grisea","Zetterstedt, 1838"
16,137,"Tiphys pistillifer","Koenike, 1908"
17,182,"Phytoptus cladophthira","Nalepa, 1892"
18,212,"Aceria tritriata","Nalepa, 1890"
19,222,"Acericerus rotundifrons","Kirschbaum, 1868"
20,233,"Achanthiptera inanis","Fallén, 1825"
21,240,"Oribata intermedia","Michael, 1898"
22,240,"Oribata ovalis","Nicolet, 1855"
23,240,"Oribates nicoletii","Berlese, 1883"
24,241,"Notaspis mixtus","Sellnick, 1943"
25,242,"Achlya flavicornis","Linnaeus, 1758"
26,250,"Zaomma microphagus","Mayr, 1876"
27,265,"Acidostoma obesum","Bate & Westwood, 1861"
28,265,"Acidostoma sarsi","Lincoln, 1979"
29,272,"Acipenser gueldenstaedti","Brandt & Ratzeburg, 1833"
30,314,"Blitophaga opaca","Linnaeus, 1758"
31,315,"Blitophaga undata","Müller, 1776"
32,327,"Emmelia trabealis","Scopoli, 1763"
33,328,"Acricotopus dilatatus","Van der Wulp, 1859"
34,336,"Trachycera advenella","Zincken, 1818"
35,338,"Trachycera marmorea","Haworth, 1811"
36,339,"Conobathra repandana","Fabricius, 1798"
37,341,"Trachycera suavella","Zincken, 1818"
38,342,"Conobathra tumidana","Denis & Schiffermüller, 1775"
39,357,"Acrocera trigramma","Loew, 1845"
40,359,"Amphiura brachiata","Montagu, 1804"
41,366,"Galumna filata","Oudemans, 1913"
42,366,"Oribata setiformes","Hall, 1911"
43,366,"Oribates elimatus","Berlese, 1904"
44,402,"Atheta amplicollis","Mulsant & Rey, 1873"
45,405,"Atheta clientula","Erichson, 1839"
46,407,"Atheta fungi","Gravenhorst, 1806"
47,411,"Atheta orbata","Erichson, 1837"
48,412,"Atheta orphana","Erichson, 1837"
49,446,"Actia frontalis","Macquart, 1845"
50,448,"Actia nudibasis","Stein, 1924"
51,450,"Actina nitens","Latreille, 1806"
52,458,"Actites hypoleucos","Linnaeus, 1758"
53,458,"Actites macularia","Linnaeus, 1766"
54,479,"Aculus craspedobia","Nalepa, 1925"
55,485,"Eriophyes kerneri","Nalepa, 1894"
56,523,"Belba geniculosa","Oudemans, 1929"
57,523,"Damaeus geniculatus","Koch, 1841"
58,523,"Damaeus onustus","Koch, 1841"
59,531,"Dreyfusia piceae","Ratzeburg, 1844"
60,546,"Adia pusilla","Meigen, 1826"
61,560,"Admontia decorata","Zetterstedt, 1849"
62,563,"Adoristes poppei","Oudemans, 1906"
63,563,"Leiosoma pyrigerum","Berlese, 1888"
64,571,"Ochlerotatus atropalpus","Coquillett, 1902"
65,575,"Aedes nemorosus","Meigen, 1818"
66,618,"Aeolosoma hemprichi","Ehrenberg, 1928"
67,655,"Phyllocoptes annulatus","Nalepa, 1897"
68,659,"Aeshna isosceles","Müller, 1767"
69,661,"Aeshna coluberculus","Harris, 1782"
70,755,"Agathomyia biseta","Oldenberg, 1928"
71,772,"Inachis io","Linnaeus, 1758"
72,775,"Aglaophamus rubella","Michaelsen, 1897"
73,807,"Agonopterix oinochroa","Turati, 1879"
74,841,"Agria punctata","Robineau-Desvoidy, 1830"
75,843,"Plebeius optilete","Knoch, 1781"
76,885,"Omphaloscelis lunosa","Haworth, 1809"
77,897,"Agromyza albohyalinata","Zetterstedt, 1848"
78,898,"Agromyza populi","Hendel, 1920"
79,902,"Agromyza niveipennis","Zetterstedt, 1848"
80,915,"Agromyza potentillae","Kaltenbach, 1864"
81,915,"Agromyza sanguisorbae","Hendel, 1931"
82,915,"Agromyza spiraeae","Kaltenbach, 1867"
83,916,"Agromyza humuli","Hering, 1924"
84,920,"Agromyza airae","Karl, 1926"
85,928,"Agromyza urticae","Nowakowski, 1964"
86,958,"Agrypnus murinus","Linnaeus, 1758"
87,970,"Meioneta affinis","Kulczynski, 1898"
88,970,"Meioneta beata","Cambridge, 1906"
89,974,"Meioneta innotabilis","Cambridge, 1863"
90,975,"Meioneta mollis","Cambridge, 1871"
91,977,"Meioneta rurestris","Koch, 1836"
92,978,"Meioneta saxatilis","Blackwall, 1844"
93,1008,"Glossiphonia heteroclita","Linnaeus, 1761"
94,1008,"Glossosiphonia heteroclita","Linnaeus, 1761"
95,1022,"Alcyonidium mytili","Dalyell, 1848"
96,1024,"Alcyonidium diaphanum","Hudson, 1778"
97,1086,"Aleochara kamila","Likovský, 1984"
98,1088,"Aleochara albovillosa","Bernhauer, 1901"
99,1089,"Polystomota grisea","Kraatz, 1856"
100,1090,"Aleochara haematodes","Schaum, 1862"
101,1090,"Aleochara ripicola","Mulsant & Rey, 1874"
102,1102,"Emplenota obscurella","Gravenhorst, 1806"
103,1105,"Polystomota punctatella","Motschulsky, 1858"
104,1108,"Rheochara spadicea","Erichson, 1837"
105,1119,"Tyroglyphus ovatus","Troupeau, 1878"
106,1122,"Aleuonota egregia","Rye, 1875"
107,1123,"Aleuonota gracilenta","Erichson, 1839"
108,1124,"Aleuonota rufotestacea","Kraatz, 1856"
109,1137,"Balea biplicata","Montagu, 1803"
110,1140,"Nereis virens","Sars, 1835"
111,1142,"Sminthurus fuscus","Tullberg, 1871"
112,1144,"Agelena gracilens","Koch, 1841"
113,1164,"Alliphis alpinus","Schweizer, 1961"
114,1164,"Alliphis siculus","Karg, 1971"
115,1164,"Gamasus halleri","G. & R.Canestrini, 1881"
116,1168,"Pseudosmittia arenaria","Strenzke, 1960"
117,1169,"Lindebergia bothnica","Tuiskunen, 1984"
118,1172,"Allocotocera flava","Dziedzicki, 1889"
119,1180,"Allodia longicornis","Van der Wulp, 1859"
120,1180,"Allodia nigricollis","Zetterstedt, 1852"
121,1207,"Pterocolus bisetatus","Haller, 1881"
122,1208,"Dermaleichus crassipes","Canestrini, 1878"
123,1212,"Plicatalloptes pelecani","Dubinin, 1956"
124,1213,"Suctobelba europaea","Willmann, 1933"
125,1213,"Suctobelba grandis","Willmann, 1933"
126,1221,"Alloxysta defecta","Hartig, 1841"
127,1246,"Atheta cambrica","Wollaston, 1855"
128,1247,"Atheta currax","Kraatz, 1856"
129,1268,"Acroperus elongatus","Sars, 1862"
130,1278,"Alopochen aegyptiacus","Linnaeus, 1766"
131,1294,"Altica pusilla","Duftschmid, 1825"
132,1297,"Altica oleracea","Mohr, 1958"
133,1299,"Altica quercetorum","Weise, 1888"
134,1367,"Bowerbankia citrina","Hincks, 1877"
135,1368,"Bowerbankia gracilis","Leidy, 1855"
136,1369,"Bowerbankia imbricata","Adams, 1798"
137,1375,"Amauromyza exigua","Meigen, 1830"
138,1378,"Amauromyza hendeli","De Meijere, 1924"
139,1392,"Gabucinia psittaci","Fain & Vercammen-Grandjean, 1966"
140,1400,"Gamasus dentipes","Koch, 1839"
141,1406,"Raja radiata","Donovan, 1808"
142,1407,"Amblyseiopsis potentillae","Garman, 1958"
143,1407,"Amblyseius garui","Gupta, 1969"
144,1407,"Amblyseius potentillae","Garman, 1958"
145,1407,"Amblyseius reflexus","Denmark & Knisley, 1978"
