"phylum","class","order","family","genus","species"
"Arthropoda","Arachnida","Araneae","Linyphiidae","Abacoproeces","Abacoproeces saltuum"
"Arthropoda","Insecta","Coleoptera","Carabidae","Abax","Abax parallelepipedus"
"Arthropoda","Insecta","Coleoptera","Carabidae","Abax","Abax carinatus"
"Arthropoda","Insecta","Coleoptera","Carabidae","Abax","Abax ovalis"
"Arthropoda","Insecta","Coleoptera","Carabidae","Abax","Abax parallelus"
"Arthropoda","Insecta","Coleoptera","Melandryidae","Abdera","Abdera affinis"
"Arthropoda","Insecta","Coleoptera","Melandryidae","Abdera","Abdera flexuosa"
"Arthropoda","Insecta","Coleoptera","Melandryidae","Abdera","Abdera triguttata"
"Arthropoda","Insecta","Hemiptera","Diaspididae","Abgrallaspis","Abgrallaspis cyanophylli"
"Arthropoda","Insecta","Hymenoptera","Cimbicidae","Abia","Abia aenea"
"Arthropoda","Insecta","Hymenoptera","Cimbicidae","Abia","Abia candens"
"Arthropoda","Insecta","Hymenoptera","Cimbicidae","Abia","Abia fasciata"
"Arthropoda","Insecta","Hymenoptera","Cimbicidae","Abia","Abia lonicerae"
"Arthropoda","Insecta","Hymenoptera","Cimbicidae","Abia","Abia sericea"
"Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","Abietinaria abietina"
"Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","Abietinaria filicula"
"Arthropoda","Insecta","Diptera","Chironomidae","Ablabesmyia","Ablabesmyia longistyla"
"Arthropoda","Insecta","Diptera","Chironomidae","Ablabesmyia","Ablabesmyia monilis"
"Arthropoda","Insecta","Coleoptera","Silphidae","Ablattaria","Ablattaria laevigata"
"Arthropoda","Malacostraca","Amphipoda","Melitidae","Abludomelita","Abludomelita obtusata"
"Mollusca","Bivalvia","Cardiida","Semelidae","Abra","Abra alba"
"Mollusca","Bivalvia","Cardiida","Semelidae","Abra","Abra nitida"
"Mollusca","Bivalvia","Cardiida","Semelidae","Abra","Abra prismatica"
"Mollusca","Bivalvia","Cardiida","Semelidae","Abra","Abra tenuis"
"Arthropoda","Insecta","Coleoptera","Histeridae","Abraeus","Abraeus granulum"
