top	"Animalia"
rangen	"(alle)
statussen	"(0,0a,1,1a,1b,2,2a,2b,2c,2d,3a,3b,3c,3cE,3d,4)"

"scientific_name"	"common_name"	"rank"	"nsr_id"	"presence_status"	
"Anseriphilus (Harrison, 1916)"	""	"genus"	"04B42A604D0B"	"3c"	
"Echinostoma Rudolphi, 1809"	""	"genus"	"0AHCYSI07149"	"1a"	
"Gonionemus A. Agassiz, 1862"	""	"genus"	"0AHCYSI12111"	"1a"	
"Pseudocalanus Boeck, 1873"	""	"genus"	"0BHO1QEJ5YRT"	"1a"	
"Abacoproeces saltuum (Koch, 1872)"	""	"soort"	"0AHCYFOOGKTT"	"1a"	
"Abax carinatus (Duftschmid, 1812)"	""	"soort"	"0AHCYFBQVKCQ"	"1a"	
"Abax ovalis (Duftschmid, 1812)"	"Ovale breedborst"	"soort"	"0AHCYFBQVLVE"	"1a"	
"Abax parallelepipedus (Piller & Mitterpacher, 1783)"	"Gewone breedborst"	"soort"	"0AHCYFBQVMRK"	"1a"	
"Abax parallelus (Duftschmid, 1812)"	"Echte breedborst"	"soort"	"0AHCYFBQVNNR"	"1a"	
"Abdera affinis (Paykull, 1799)"	""	"soort"	"069F61C44BE1"	"0a"	
"Abdera flexuosa (Paykull, 1799)"	""	"soort"	"0AHCYFBVIVVL"	"1a"	
"Abdera triguttata (Gyllenhal, 1810)"	""	"soort"	"0AHCYFBVIWWE"	"1a"	
"Abgrallaspis cyanophylli (Signoret, 1869)"	""	"soort"	"0X1WRSSVAS5P"	"2d"	
"Abia aenea (Klug, 1829)"	""	"soort"	"0T148ACPBSLR"	"1a"	
"Abia candens Konow, 1887"	""	"soort"	"0AHCYFATDUCD"	"1a"	
"Abia fasciata (Linnaeus, 1758)"	""	"soort"	"0AHCYFATDUYJ"	"1a"	
"Abia lonicerae (Linnaeus, 1758)"	""	"soort"	"0AHCYFATDVUQ"	"1a"	
"Abia sericea (Linnaeus, 1767)"	""	"soort"	"0AHCYFATDWQX"	"1a"	
"Abietinaria abietina (Linnaeus, 1758)"	"Zeeden"	"soort"	"0AHCYSI11280"	"1a"	
"Abietinaria filicula (Ellis & Solander, 1786)"	"Fijne zeeden"	"soort"	"07E65E7F4BAB"	"3c"	
"Ablabesmyia longistyla Fittkau, 1962"	""	"soort"	"0AHCYFBECWIG"	"1a"	
"Ablabesmyia monilis (Linnaeus, 1758)"	""	"soort"	"0AHCYFBECXIY"	"1a"	
"Ablabesmyia phatta (Egger, 1863)"	""	"soort"	"0AHCYFBECYJR"	"1a"	
"Ablattaria laevigata (Fabricius, 1775)"	""	"soort"	"0AHCYFBWPWEB"	"1a"	
"Ablaxia megachlora (Walker, 1835)"	""	"soort"	"0AHCYFBAQEBG"	"1a"	
"Ablaxia parviclava (Thomson, 1878)"	""	"soort"	"0AHCYFBAQFBZ"	"1a"	
"Ablaxia squamifera (Thomson, 1878)"	""	"soort"	"0AHCYFBAQFYF"	"1a"	
"Ablechroiulus ciliatus (Fuchs, 1931)"	""	"soort"	"0AHCYSI02427"	"1a"	
"Ablechroiulus lacustris Micoletzky, 1913"	""	"soort"	"0AHCYSI02426"	"1a"	
"Abludomelita obtusata (Montagu, 1813)"	""	"soort"	"0AHCYSI04133"	"1a"	
"Abra alba (Wood, 1802)"	"Witte dunschaal"	"soort"	"0AHCYSI11430"	"1a"	
"Abra nitida (Müller, 1776)"	"Glanzende dunschaal"	"soort"	"0AHCYSI11432"	"1a"	
"Abra prismatica (Montagu, 1808)"	"Prismatische dunschaal"	"soort"	"0AHCYSI11431"	"1a"	
"Abra tenuis (Montagu, 1803)"	"Tere dunschaal"	"soort"	"0AHCYSI11774"	"1a"	
"Abrachyglossum capitatum (Loew, 1874)"	"Stekeldrager"	"soort"	"0D71EF894631"	"1b"	
"Abraeus granulum Erichson, 1839"	""	"soort"	"0AHCYFBUOVUG"	"1a"	
