Synonym,Taxon
"Abax ater (Villers, 1789)","Abax parallelepipedus (Piller & Mitterpacher, 1783)"
"Abramis brama (Le Sueur, 1819)","Abramis brama (Linnaeus, 1758)"
"Lumbrineris pseudofragilis Amoureux, 1977","Abyssoninoe scopa (Fauchald, 1974)"
"Acalles commutatus Dieckmann, 1982","Acalles fallax Boheman, 1844"
"Vidia squamata Oudemans, 1909","Acalvolia squamata (Oudemans, 1909)"
"Carduelis cabaret (Muller, 1776)","Acanthis cabaret (Muller, 1776)"
"Carduelis flammea (Linnaeus, 1758)","Acanthis flammea (Linnaeus, 1758)"
"Carduelis hornemanni (Holboell, 1843)","Acanthis hornemanni (Holboell, 1843)"
"Acanthochondria depressa (Scott, 1905)","Acanthochondria cornuta (Muller, 1776)"
"Acanthodelphax spinosus (Fieber, 1866)","Acanthodelphax spinosa (Fieber, 1866)"
"Acartia intermedia Poppe, 1885","Acartia bifilosa (Giesbrecht, 1881)"
"Acarus farinae De Geer, 1778","Acarus siro Linnaeus, 1758"
"Aleurobius farris Oudemans, 1902","Acarus siro Linnaeus, 1758"
"Tyroglyphus farinae (De Geer, 1778)","Acarus siro Linnaeus, 1758"
"Acemya grisea (Zetterstedt, 1838)","Acemya acuticornis (Meigen, 1824)"
"Tiphys pistillifer (Koenike, 1908)","Acercopsis pistillifer (Koenike, 1908)"
"Phytoptus cladophthira Nalepa, 1892","Aceria lycopersici (Wolffenstein, 1879)"
"Aceria tritriata (Nalepa, 1890)","Aceria tristriata (Nalepa, 1890)"
"Acericerus rotundifrons (Kirschbaum, 1868)","Acericerus vittifrons (Kirschbaum, 1868)"
"Achanthiptera inanis (Fallen, 1825)","Achanthiptera rohrelliformis (Robineau-Desvoidy, 1830)"
"Oribata intermedia Michael, 1898","Achipteria coleoptrata (Linnaeus, 1758)"
"Oribata ovalis Nicolet, 1855","Achipteria coleoptrata (Linnaeus, 1758)"
"Oribates nicoletii Berlese, 1883","Achipteria coleoptrata (Linnaeus, 1758)"
"Notaspis mixtus Sellnick, 1943","Achipteria nitens (Nicolet, 1855)"
"Achlya flavicornis (Linnaeus, 1758)","Achlya flavicornis (Linnaeus, 1758)"
"Zaomma microphagus Mayr, 1876","Achrysocharoides bukkensis (Erdos, 1958)"
"Acidostoma obesum (Bate & Westwood, 1861)","Acidostoma obesum (Bate, 1862)"
"Acidostoma sarsi Lincoln, 1979","Acidostoma obesum (Bate, 1862)"
"Acipenser gueldenstaedti Brandt & Ratzeburg, 1833","Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833"
"Blitophaga opaca (Linnaeus, 1758)","Aclypea opaca (Linnaeus, 1758)"
"Blitophaga undata (Muller, 1776)","Aclypea undata (Muller, 1776)"
"Emmelia trabealis (Scopoli, 1763)","Acontia trabealis (Scopoli, 1763)"
"Acricotopus dilatatus (Van der Wulp, 1859)","Acricotopus lucens (Zetterstedt, 1850)"
"Trachycera advenella (Zincken, 1818)","Acrobasis advenella (Zincken, 1818)"
"Trachycera marmorea (Haworth, 1811)","Acrobasis marmorea (Haworth, 1811)"
