Abacoproeces saltuum
Abax ater
Abax carinatus
Abax ovalis
Abax parallelepipedus
Abax parallelus
Abdera affinis
Abdera flexuosa
Abdera triguttata
Abgrallaspis cyanophylli
Abia aenea
Abia candens
Abia fasciata
Abia lonicerae
Abia sericea
Abietinaria abietina
Abietinaria filicula
Ablabesmyia longistyla
Ablabesmyia monilis
Ablabesmyia phatta
Ablattaria laevigata
Ablaxia megachlora
Ablaxia parviclava
Ablaxia squamifera
Ablechroiulus ciliatus
Ablechroiulus lacustris
Abludomelita obtusata
Abra alba
Abra nitida
Abra prismatica
Abra tenuis
Abrachyglossum capitatum
Abraeus granulum
Abraeus parvulus
Abraeus perpusillus
Abramis bjoerkna
Abramis brama
Abramis leuckartii
Abraxas grossulariata
Abraxas sylvata
Abrostola tripartita
Abrostola triplasia
Absidia rufotestacea
Absyrtus vernalis
Absyrtus vicinator
Abyssoninoe hibernica
Abyssoninoe scopa
Acaenitus dubitator
Acalitus brevitarsus
Acalitus calycophthirus
Acalitus essigi
Acalitus longisetosus
Acalitus phloeocoptes
Acalitus plicans
Acalitus rudis
Acalitus stenaspis
Acalles commutatus
Acalles dubius
Acalles fallax
Acalles hypocritus
Acalles lemur
Acalles misellus
Acalles parvulus
Acalles ptinoides
Acalles roboris
Acalvolia squamata
Acalypta carinata
Acalypta gracilis
Acalypta marginata
Acalypta musci
Acalypta nigrina
Acalypta parvula
Acalypta platycheila
Acalyptus carpini
Acampsis alternipes
Acamptocladius submontanus
Acanosema nervosa
Acanthinula aculeata
Acanthiophilus helianthi
Acanthis cabaret
Acanthis flammea
Acanthis hornemanni
Acanthocardia aculeata
Acanthocardia echinata
Acanthocardia paucicostata
Acanthocardia tuberculata
Acanthocephalus anguillae
Acanthocephalus clavula
Acanthocephalus lucii
Acanthocephalus ranae
Acanthocheilonema dracunculoides
Acanthocheilonema spirocauda
Acanthocheilus bicuspis
Acanthocheilus rotundatus
Acanthochitona crinita
Acanthochondria cornuta
Acanthochondria depressa
Acanthochondria limandae
Acanthochondria soleae
