top	"Animalia"
rangen	"(alle)
statussen	"(0,0a,1,1a,1b,2,2a,2b,2c,2d,3a,3b,3c,3cE,3d,4)"

"synonym"	"type_synonym"	"language"	"taxon"	"taxon_nsr_id"	"rank"	
"Ovale breedborst"	"isPreferredNameOf"	"Dutch"	"Abax ovalis (Duftschmid, 1812)"	"0AHCYFBQVLVE"	
"Abax ater (Villers, 1789)"	"isSynonymOf"	"Scientific"	"Abax parallelepipedus (Piller & Mitterpacher, 1783)"	"0AHCYFBQVMRK"	
"Breedborstloopkever"	"isAlternativeNameOf"	"Dutch"	"Abax parallelepipedus (Piller & Mitterpacher, 1783)"	"0AHCYFBQVMRK"	
"Gewone breedborst"	"isPreferredNameOf"	"Dutch"	"Abax parallelepipedus (Piller & Mitterpacher, 1783)"	"0AHCYFBQVMRK"	
"Zwarte breedkever"	"isAlternativeNameOf"	"Dutch"	"Abax parallelepipedus (Piller & Mitterpacher, 1783)"	"0AHCYFBQVMRK"	
"Zwarte tor"	"isAlternativeNameOf"	"Dutch"	"Abax parallelepipedus (Piller & Mitterpacher, 1783)"	"0AHCYFBQVMRK"	
"Echte breedborst"	"isPreferredNameOf"	"Dutch"	"Abax parallelus (Duftschmid, 1812)"	"0AHCYFBQVNNR"	
"Zeeden"	"isPreferredNameOf"	"Dutch"	"Abietinaria abietina (Linnaeus, 1758)"	"0AHCYSI11280"	
"Zeedennetje"	"isAlternativeNameOf"	"Dutch"	"Abietinaria abietina (Linnaeus, 1758)"	"0AHCYSI11280"	
"Fijne zeeden"	"isPreferredNameOf"	"Dutch"	"Abietinaria filicula (Ellis & Solander, 1786)"	"07E65E7F4BAB"	
"Witte dunschaal"	"isPreferredNameOf"	"Dutch"	"Abra alba (Wood, 1802)"	"0AHCYSI11430"	
"Glanzende dunschaal"	"isPreferredNameOf"	"Dutch"	"Abra nitida (Müller, 1776)"	"0AHCYSI11432"	
"Prismatische dunschaal"	"isPreferredNameOf"	"Dutch"	"Abra prismatica (Montagu, 1808)"	"0AHCYSI11431"	
"Tere dunschaal"	"isPreferredNameOf"	"Dutch"	"Abra tenuis (Montagu, 1803)"	"0AHCYSI11774"	
"Stekeldrager"	"isPreferredNameOf"	"Dutch"	"Abrachyglossum capitatum (Loew, 1874)"	"0D71EF894631"	
"Abramis brama (Le Sueur, 1819)"	"isInvalidNameOf"	"Scientific"	"Abramis brama (Linnaeus, 1758)"	"000455863548"	
"Brasem"	"isPreferredNameOf"	"Dutch"	"Abramis brama (Linnaeus, 1758)"	"000455863548"	
"Bonte bessenvlinder"	"isPreferredNameOf"	"Dutch"	"Abraxas grossulariata (Linnaeus, 1758)"	"0AHCYFCJJFWR"	
"Bonte bessevlinder"	"isAlternativeNameOf"	"Dutch"	"Abraxas grossulariata (Linnaeus, 1758)"	"0AHCYFCJJFWR"	
"Porseleinvlinder"	"isPreferredNameOf"	"Dutch"	"Abraxas sylvata (Scopoli, 1763)"	"0AHCYFCJJILL"	
"Brandnetelkapje"	"isPreferredNameOf"	"Dutch"	"Abrostola tripartita (Hufnagel, 1766)"	"0AHCYFCLMHFU"	
"Donker brandnetelkapje"	"isPreferredNameOf"	"Dutch"	"Abrostola triplasia (Linnaeus, 1758)"	"0AHCYFCLMIGM"	
"Lumbrineris pseudofragilis Amoureux, 1977"	"isSynonymOf"	"Scientific"	"Abyssoninoe scopa (Fauchald, 1974)"	"0U348D3O9OXW"	
"Elzenviltmijt"	"isPreferredNameOf"	"Dutch"	"Acalitus brevitarsus (Fockeu, 1890)"	"0AHCYSI10197"	
"Berkenknopmijt"	"isPreferredNameOf"	"Dutch"	"Acalitus calycophthirus (Nalepa, 1891)"	"0AHCYSI10198"	
"Bramengalmijt"	"isPreferredNameOf"	"Dutch"	"Acalitus essigi (Hassan, 1928)"	"00FZTI7BQ53S"	
"Rode berkenbladmijt"	"isPreferredNameOf"	"Dutch"	"Acalitus longisetosus (Nalepa, 1892)"	"0AHCYSI10199"	
"Pruimenschorsmijt"	"isPreferredNameOf"	"Dutch"	"Acalitus phloeocoptes (Nalepa, 1890)"	"0NMBPP6NBB0W"	
"Beukenbladplooimijt"	"isPreferredNameOf"	"Dutch"	"Acalitus plicans (Nalepa, 1917)"	"0T2AIHZOG5T8"	
"Berkenviltmijt"	"isPreferredNameOf"	"Dutch"	"Acalitus rudis (Canestrini, 1890)"	"0AHCYSI10200"	
"Beukenbladrolmijt"	"isPreferredNameOf"	"Dutch"	"Acalitus stenaspis (Nalepa, 1891)"	"0AHCYSI10201"	
"Acalles commutatus Dieckmann, 1982"	"isSynonymOf"	"Scientific"	"Acalles fallax Boheman, 1844"	"0AHCYFBSYCAL"	
"Vidia squamata Oudemans, 1909"	"isSynonymSLOf"	"Scientific"	"Acalvolia squamata (Oudemans, 1909)"	"0QQ9FQYNZNIL"	
"Stekelslak"	"isAlternativeNameOf"	"Dutch"	"Acanthinula aculeata (Müller, 1774)"	"0AHCYFEPRODK"	
"Stekelslakje"	"isPreferredNameOf"	"Dutch"	"Acanthinula aculeata (Müller, 1774)"	"0AHCYFEPRODK"	
"Carduelis cabaret (Müller, 1776)"	"isSynonymOf"	"Scientific"	"Acanthis cabaret (Müller, 1776)"	"0AHCYFCONJBC"	
"Kleine barmsijs"	"isPreferredNameOf"	"Dutch"	"Acanthis cabaret (Müller, 1776)"	"0AHCYFCONJBC"	
"Carduelis flammea (Linnaeus, 1758)"	"isSynonymOf"	"Scientific"	"Acanthis flammea (Linnaeus, 1758)"	"000464942373"	
"Grote barmsijs"	"isPreferredNameOf"	"Dutch"	"Acanthis flammea (Linnaeus, 1758)"	"000464942373"	
"Carduelis hornemanni (Holboell, 1843)"	"isSynonymOf"	"Scientific"	"Acanthis hornemanni (Holboell, 1843)"	"000464942387"	
"Witstuitbarmsijs"	"isPreferredNameOf"	"Dutch"	"Acanthis hornemanni (Holboell, 1843)"	"000464942387"	
"Grote hartschelp"	"isPreferredNameOf"	"Dutch"	"Acanthocardia aculeata Linnaeus, 1758"	"0AHCYSI11179"	
"Gedoornde hartschelp"	"isPreferredNameOf"	"Dutch"	"Acanthocardia echinata (Linnaeus, 1758)"	"0AHCYSI11334"	
"Tere hartschelp"	"isPreferredNameOf"	"Dutch"	"Acanthocardia paucicostata (Sowerby, 1834)"	"0AHCYSI11333"	
"Geknobbelde hartschelp"	"isPreferredNameOf"	"Dutch"	"Acanthocardia tuberculata (Linnaeus, 1758)"	"0JPLADPSB6ND"	
"Kleine borstelkeverslak"	"isPreferredNameOf"	"Dutch"	"Acanthochitona crinita (Pennant, 1777)"	"0AHCYSI11125"	
"Acanthochondria depressa (Scott, 1905)"	"isSynonymOf"	"Scientific"	"Acanthochondria cornuta (Müller, 1776)"	"0YAVLOL1SR5N"	
"Dennenbok"	"isAlternativeNameOf"	"Dutch"	"Acanthocinus aedilis (Linnaeus, 1758)"	"0AHCYFBROUJK"	
"Dennenboktor"	"isAlternativeNameOf"	"Dutch"	"Acanthocinus aedilis (Linnaeus, 1758)"	"0AHCYFBROUJK"	
"Grijsbruine timmerbok"	"isAlternativeNameOf"	"Dutch"	"Acanthocinus aedilis (Linnaeus, 1758)"	"0AHCYFBROUJK"	
"Timmerbok"	"isAlternativeNameOf"	"Dutch"	"Acanthocinus aedilis (Linnaeus, 1758)"	"0AHCYFBROUJK"	
"Timmerboktor"	"isPreferredNameOf"	"Dutch"	"Acanthocinus aedilis (Linnaeus, 1758)"	"0AHCYFBROUJK"	
"Acanthodelphax spinosus (Fieber, 1866)"	"isMisspelledNameOf"	"Scientific"	"Acanthodelphax spinosa (Fieber, 1866)"	"0AHCYFAPTHGQ"	
"Egelslak"	"isPreferredNameOf"	"Dutch"	"Acanthodoris pilosa (Abildgaard, 1789)"	"0AHCYSI11101"	
"Venwatervlo"	"isPreferredNameOf"	"Dutch"	"Acantholeberis curvirostris (Müller, 1776)"	"0AHCYSI03844"	
"Staalblauwe spinselbladwesp"	"isPreferredNameOf"	"Dutch"	"Acantholyda erythrocephala (Linnaeus, 1758)"	"0AHCYFAWUBUU"	
"Gewone spinselbladwesp"	"isPreferredNameOf"	"Dutch"	"Acantholyda hieroglyphica (Christ, 1791)"	"0AHCYFAWUDNH"	
"Zwarte heidezakdrager"	"isPreferredNameOf"	"Dutch"	"Acanthopsyche atra (Linnaeus, 1767)"	"0AHCYSI00172"	
"Bonenkever"	"isAlternativeNameOf"	"Dutch"	"Acanthoscelides obtectus (Say, 1831)"	"0AHCYFBQOZYV"	
"Stambonekever"	"isAlternativeNameOf"	"Dutch"	"Acanthoscelides obtectus (Say, 1831)"	"0AHCYFBQOZYV"	
"Stambonenkever"	"isPreferredNameOf"	"Dutch"	"Acanthoscelides obtectus (Say, 1831)"	"0AHCYFBQOZYV"	
"Meidoornkielwants"	"isPreferredNameOf"	"Dutch"	"Acanthosoma haemorrhoidale (Linnaeus, 1758)"	"0AHCYSIBRAYF"	
"Bijenmijt"	"isPreferredNameOf"	"Dutch"	"Acarapis woodi (Rennie, 1921)"	"0AHCYSI10545"	
"Acartia intermedia Poppe, 1885"	"isSynonymOf"	"Scientific"	"Acartia bifilosa (Giesbrecht, 1881)"	"0AHCYSI04193"	
"Langsprietroeipootkreeft"	"isPreferredNameOf"	"Dutch"	"Acartia tonsa Dana, 1848"	"0AHCYSI11748"	
