processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers	sequenceID	markercode	genbank_accession	nucleotides	trace_ids	trace_names	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
BCHYM15621-17	BC-ZSM-HYM-27504-C03	8206192	BC-ZSM-HYM-27504-C03	BC-ZSM-HYM-27504-C03	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	125219	Pteromalidae	182852	Pteromalinae	484374	Vrestovia	781030	Vrestovia fidenas			Hannes Baur							V. Knoll							Adult	F						strain TG U6	47.604	9.056							Switzerland	Thurgau			Altnau	3187396	http://www.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-27504-C03+1501625068.jpg	Lateral		SNSB, Staatliche Naturwissenschaftliche Sammlungen Bayerns	2017	CreativeCommons - Attribution Non-Commercial Share-Alike	ZSM (SNSB, Zoologische Staatssammlung Muenchen)	Hymenoptera Photo Group					10386702|10386987	BCHYM15621-17[LepF1,LepR1]_R.ab1|BCHYM15621-17[LepF1,LepR1]_F.ab1	http://trace.boldsystems.org/traceIO/bold.org/12205386|http://trace.boldsystems.org/traceIO/bold.org/12205671	2017-10-11 12:19:34|2017-10-11 10:24:34	Biodiversity Institute of Ontario|Biodiversity Institute of Ontario	R|F	LepR1|LepF1	COI-5P|COI-5P
BCHYM15622-17	BC-ZSM-HYM-27504-C04	8206193	BC-ZSM-HYM-27504-C04	BC-ZSM-HYM-27504-C04	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	125219	Pteromalidae	182852	Pteromalinae	484374	Vrestovia	781030	Vrestovia fidenas			Hannes Baur							V. Knoll							Adult	F						strain TG U6	47.603	9.056							Switzerland	Thurgau			Altnau	3187397	http://www.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-27504-C04+1501625068.jpg	Lateral		SNSB, Staatliche Naturwissenschaftliche Sammlungen Bayerns	2017	CreativeCommons - Attribution Non-Commercial Share-Alike	ZSM (SNSB, Zoologische Staatssammlung Muenchen)	Hymenoptera Photo Group					10386703|10386988	BCHYM15622-17[LepF1,LepR1]_R.ab1|BCHYM15622-17[LepF1,LepR1]_F.ab1	http://trace.boldsystems.org/traceIO/bold.org/12205387|http://trace.boldsystems.org/traceIO/bold.org/12205672	2017-10-11 12:19:34|2017-10-11 10:24:34	Biodiversity Institute of Ontario|Biodiversity Institute of Ontario	R|F	LepR1|LepF1	COI-5P|COI-5P
BCHYM15623-17	BC-ZSM-HYM-27504-C05	8206194	BC-ZSM-HYM-27504-C05	BC-ZSM-HYM-27504-C05	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	125219	Pteromalidae	182852	Pteromalinae	484374	Vrestovia	781030	Vrestovia fidenas			Hannes Baur							V. Knoll							Adult	F						strain TG U6	47.604	9.056							Switzerland	Thurgau			Altnau	3187398	http://www.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-27504-C05+1501625070.jpg	Lateral		SNSB, Staatliche Naturwissenschaftliche Sammlungen Bayerns	2017	CreativeCommons - Attribution Non-Commercial Share-Alike	ZSM (SNSB, Zoologische Staatssammlung Muenchen)	Hymenoptera Photo Group					10386704|10386989	BCHYM15623-17[LepF1,LepR1]_R.ab1|BCHYM15623-17[LepF1,LepR1]_F.ab1	http://trace.boldsystems.org/traceIO/bold.org/12205388|http://trace.boldsystems.org/traceIO/bold.org/12205673	2017-10-11 12:19:34|2017-10-11 10:24:34	Biodiversity Institute of Ontario|Biodiversity Institute of Ontario	R|F	LepR1|LepF1	COI-5P|COI-5P
BCHYM15624-17	BC-ZSM-HYM-27504-C06	8206195	BC-ZSM-HYM-27504-C06	BC-ZSM-HYM-27504-C06	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	125219	Pteromalidae	182852	Pteromalinae	484374	Vrestovia	781030	Vrestovia fidenas			Hannes Baur							V. Knoll							Adult	M						strain TG U6	47.604	9.056							Switzerland	Thurgau			Altnau	3187399	http://www.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-27504-C06+1501625072.jpg	Lateral		SNSB, Staatliche Naturwissenschaftliche Sammlungen Bayerns	2017	CreativeCommons - Attribution Non-Commercial Share-Alike	ZSM (SNSB, Zoologische Staatssammlung Muenchen)	Hymenoptera Photo Group					10386705|10386990	BCHYM15624-17[LepF1,LepR1]_R.ab1|BCHYM15624-17[LepF1,LepR1]_F.ab1	http://trace.boldsystems.org/traceIO/bold.org/12205389|http://trace.boldsystems.org/traceIO/bold.org/12205674	2017-10-11 12:19:34|2017-10-11 10:24:34	Biodiversity Institute of Ontario|Biodiversity Institute of Ontario	R|F	LepR1|LepF1	COI-5P|COI-5P
BCHYM15625-17	BC-ZSM-HYM-27504-C07	8206196	BC-ZSM-HYM-27504-C07	BC-ZSM-HYM-27504-C07	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	125219	Pteromalidae	182852	Pteromalinae	484374	Vrestovia	781030	Vrestovia fidenas			Hannes Baur							V. Knoll							Adult	M						strain TG U6	47.604	9.056							Switzerland	Thurgau			Altnau	3187400	http://www.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-27504-C07+1501625072.jpg	Lateral		SNSB, Staatliche Naturwissenschaftliche Sammlungen Bayerns	2017	CreativeCommons - Attribution Non-Commercial Share-Alike	ZSM (SNSB, Zoologische Staatssammlung Muenchen)	Hymenoptera Photo Group					10386706|10386991	BCHYM15625-17[LepF1,LepR1]_R.ab1|BCHYM15625-17[LepF1,LepR1]_F.ab1	http://trace.boldsystems.org/traceIO/bold.org/12205390|http://trace.boldsystems.org/traceIO/bold.org/12205675	2017-10-11 12:19:34|2017-10-11 10:24:34	Biodiversity Institute of Ontario|Biodiversity Institute of Ontario	R|F	LepR1|LepF1	COI-5P|COI-5P
BCHYM15626-17	BC-ZSM-HYM-27504-C08	8206197	BC-ZSM-HYM-27504-C08	BC-ZSM-HYM-27504-C08	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	125219	Pteromalidae	182852	Pteromalinae	484374	Vrestovia	781030	Vrestovia fidenas			Hannes Baur							V. Knoll							Adult	F						strain BS U6	47.506	7.526							Switzerland	Basel-Landschaft	Basel		Biel-Benken	3187401	http://www.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-27504-C08+1501625074.jpg	Lateral		SNSB, Staatliche Naturwissenschaftliche Sammlungen Bayerns	2017	CreativeCommons - Attribution Non-Commercial Share-Alike	ZSM (SNSB, Zoologische Staatssammlung Muenchen)	Hymenoptera Photo Group					10386707|10386992	BCHYM15626-17[LepF1,LepR1]_R.ab1|BCHYM15626-17[LepF1,LepR1]_F.ab1	http://trace.boldsystems.org/traceIO/bold.org/12205391|http://trace.boldsystems.org/traceIO/bold.org/12205676	2017-10-11 12:19:34|2017-10-11 10:24:34	Biodiversity Institute of Ontario|Biodiversity Institute of Ontario	R|F	LepR1|LepF1	COI-5P|COI-5P
BCHYM15627-17	BC-ZSM-HYM-27504-C09	8206198	BC-ZSM-HYM-27504-C09	BC-ZSM-HYM-27504-C09	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	125219	Pteromalidae	182852	Pteromalinae	484374	Vrestovia	781030	Vrestovia fidenas			Hannes Baur							V. Knoll							Adult	F						strain BS U6	47.506	7.526							Switzerland	Basel-Landschaft	Basel		Biel-Benken	3187402	http://www.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-27504-C09+1501625078.jpg	Lateral		SNSB, Staatliche Naturwissenschaftliche Sammlungen Bayerns	2017	CreativeCommons - Attribution Non-Commercial Share-Alike	ZSM (SNSB, Zoologische Staatssammlung Muenchen)	Hymenoptera Photo Group					10386708|10386993	BCHYM15627-17[LepF1,LepR1]_R.ab1|BCHYM15627-17[LepF1,LepR1]_F.ab1	http://trace.boldsystems.org/traceIO/bold.org/12205392|http://trace.boldsystems.org/traceIO/bold.org/12205677	2017-10-11 12:19:34|2017-10-11 10:24:34	Biodiversity Institute of Ontario|Biodiversity Institute of Ontario	R|F	LepR1|LepF1	COI-5P|COI-5P
BCHYM15628-17	BC-ZSM-HYM-27504-C10	8206199	BC-ZSM-HYM-27504-C10	BC-ZSM-HYM-27504-C10	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	125219	Pteromalidae	182852	Pteromalinae	484374	Vrestovia	781030	Vrestovia fidenas			Hannes Baur							V. Knoll							Adult	F						strain BS U6	47.506	7.526							Switzerland	Basel-Landschaft	Basel		Biel-Benken	3187403	http://www.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-27504-C10+1501625078.jpg	Lateral		SNSB, Staatliche Naturwissenschaftliche Sammlungen Bayerns	2017	CreativeCommons - Attribution Non-Commercial Share-Alike	ZSM (SNSB, Zoologische Staatssammlung Muenchen)	Hymenoptera Photo Group					10386709|10386994	BCHYM15628-17[LepF1,LepR1]_R.ab1|BCHYM15628-17[LepF1,LepR1]_F.ab1	http://trace.boldsystems.org/traceIO/bold.org/12205393|http://trace.boldsystems.org/traceIO/bold.org/12205678	2017-10-11 12:19:34|2017-10-11 10:24:34	Biodiversity Institute of Ontario|Biodiversity Institute of Ontario	R|F	LepR1|LepF1	COI-5P|COI-5P
BCHYM15629-17	BC-ZSM-HYM-27504-C11	8206200	BC-ZSM-HYM-27504-C11	BC-ZSM-HYM-27504-C11	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	125219	Pteromalidae	182852	Pteromalinae	484374	Vrestovia	781030	Vrestovia fidenas			Hannes Baur							V. Knoll							Adult	F						strain BS U6	47.506	7.526							Switzerland	Basel-Landschaft	Basel		Biel-Benken	3187404	http://www.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-27504-C11+1501625080.jpg	Lateral		SNSB, Staatliche Naturwissenschaftliche Sammlungen Bayerns	2017	CreativeCommons - Attribution Non-Commercial Share-Alike	ZSM (SNSB, Zoologische Staatssammlung Muenchen)	Hymenoptera Photo Group					10386710|10386995	BCHYM15629-17[LepF1,LepR1]_R.ab1|BCHYM15629-17[LepF1,LepR1]_F.ab1	http://trace.boldsystems.org/traceIO/bold.org/12205394|http://trace.boldsystems.org/traceIO/bold.org/12205679	2017-10-11 12:19:34|2017-10-11 10:24:34	Biodiversity Institute of Ontario|Biodiversity Institute of Ontario	R|F	LepR1|LepF1	COI-5P|COI-5P
BCHYM15630-17	BC-ZSM-HYM-27504-C12	8206201	BC-ZSM-HYM-27504-C12	BC-ZSM-HYM-27504-C12	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	125219	Pteromalidae	182852	Pteromalinae	484374	Vrestovia	781030	Vrestovia fidenas			Hannes Baur							V. Knoll							Adult	F						strain BS U6	47.506	7.526							Switzerland	Basel-Landschaft	Basel		Biel-Benken	3187405	http://www.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-27504-C12+1501625082.jpg	Lateral		SNSB, Staatliche Naturwissenschaftliche Sammlungen Bayerns	2017	CreativeCommons - Attribution Non-Commercial Share-Alike	ZSM (SNSB, Zoologische Staatssammlung Muenchen)	Hymenoptera Photo Group					10386711|10386996	BCHYM15630-17[LepF1,LepR1]_R.ab1|BCHYM15630-17[LepF1,LepR1]_F.ab1	http://trace.boldsystems.org/traceIO/bold.org/12205395|http://trace.boldsystems.org/traceIO/bold.org/12205680	2017-10-11 12:19:34|2017-10-11 10:24:34	Biodiversity Institute of Ontario|Biodiversity Institute of Ontario	R|F	LepR1|LepF1	COI-5P|COI-5P
