processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers	sequenceID	markercode	genbank_accession	nucleotides	trace_ids	trace_names	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
GBPL13188-19	KY569147	9734853		KY569147	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL13189-19	KY569148	9734854		KY569148	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL13190-19	KY569149	9734855		KY569149	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL13191-19	KY569150	9734856		KY569150	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL13192-19	KY569151	9734857		KY569151	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL13193-19	KY569152	9734858		KY569152	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL13194-19	KY569153	9734859		KY569153	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL13195-19	KY569154	9734860		KY569154	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL7177-19	JX022734	9728842		JX022734	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL7178-19	JX022735	9728843		JX022735	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL7179-19	JX022736	9728844		JX022736	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL7180-19	JX022737	9728845		JX022737	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL7181-19	JX022738	9728846		JX022738	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL7182-19	JX022739	9728847		JX022739	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL7183-19	JX022740	9728848		JX022740	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL7184-19	JX022741	9728849		JX022741	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL7185-19	JX022742	9728850		JX022742	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL7186-19	JX022743	9728851		JX022743	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL7187-19	JX022744	9728852		JX022744	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL7188-19	JX022745	9728853		JX022745	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL7189-19	JX022746	9728854		JX022746	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL7190-19	JX022747	9728855		JX022747	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL7191-19	EF088217	9728856		EF088217	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																	Germany																									
GBPL7192-19	EF088218	9728857		EF088218	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																	Germany																									
GBPL7193-19	EF088219	9728858		EF088219	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																	Germany																									
GBPL7194-19	EF088220	9728859		EF088220	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																	Germany																									
GBPL7195-19	EF088221	9728860		EF088221	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																	Germany																									
GBPL7196-19	EF088222	9728861		EF088222	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																	Germany																									
GBPL7197-19	EF088223	9728862		EF088223	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																	Germany																									
GBPL7198-19	EF088224	9728863		EF088224	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																	Germany																									
GBPL7199-19	EF088225	9728864		EF088225	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																	Germany																									
GBPL7200-19	EF088226	9728865		EF088226	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																	France																									
GBPL7201-19	EF088227	9728866		EF088227	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																	France																									
GBPL7203-19	EF088229	9728868		EF088229	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																	Germany																									
GBPL7206-19	AF178308	9728871		AF178308	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL13186-19	KY569145	9734851		KY569145	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																																										
GBPL6268-15	KP208776	6189969		KP208776	Mined from GenBank, NCBI			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																							taxon:27898										Spain																									
GBPL7202-19	EF088228	9728867		EF088228	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																	Germany																									
GBPL7204-19	EF088230	9728869		EF088230	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																	Italy																									
GBPL7205-19	EF088231	9728870		EF088231	University of Guelph			5	Platyhelminthes	502734	Rhabditophora	165597	Tricladida	165601	Planariidae			168599	Crenobia	168600	Crenobia alpina																																	Germany																									
