processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers	sequenceID	markercode	genbank_accession	nucleotides	trace_ids	trace_names	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
GBICH033-12	BC ZSM HYM 13713	2873436	BC ZSM HYM 13713	BC ZSM HYM 13713	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	65126	Ichneumoninae	500169	Oronotus	500170	Oronotus binotatus			Stefan Schmidt		Gravenhorst, 1829					C. Glelis							A	M	S						51.967	5.033			1				Netherlands	Zeeland			Lexmond	1825139	http://www.boldsystems.org/pics/GBICH/BC_ZSM_HYM_13713+1340377896.jpg	temp	adult	SNSB, Zoologische Staatssammlung Muenchen	2015	CreativeCommons - Attribution Non-Commercial Share-Alike	SNSB, Zoologische Staatssammlung Muenchen													
GBICH034-12	BC ZSM HYM 13714	2873437	BC ZSM HYM 13714	BC ZSM HYM 13714	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	65126	Ichneumoninae	500169	Oronotus	500170	Oronotus binotatus			Stefan Schmidt		Gravenhorst, 1829					C.J.Zwahals							A	M	S						51.913	5.13			1				Netherlands	Zeeland			Schoonrewoerd	1825140	http://www.boldsystems.org/pics/GBICH/BC_ZSM_HYM_13714+1340377948.jpg	temp	adult	SNSB, Zoologische Staatssammlung Muenchen	2015	CreativeCommons - Attribution Non-Commercial Share-Alike	SNSB, Zoologische Staatssammlung Muenchen													
GBICH035-12	BC ZSM HYM 13715	2873438	BC ZSM HYM 13715	BC ZSM HYM 13715	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	65126	Ichneumoninae	500169	Oronotus	500170	Oronotus binotatus			Stefan Schmidt		Gravenhorst, 1829					C.J.Zwahals							A	M	S						51.913	5.13			1				Netherlands	Zeeland			Schoonrewoerd	1825141	http://www.boldsystems.org/pics/GBICH/BC_ZSM_HYM_13715+1340378112.jpg	temp	adult	SNSB, Zoologische Staatssammlung Muenchen	2015	CreativeCommons - Attribution Non-Commercial Share-Alike	SNSB, Zoologische Staatssammlung Muenchen													
GBICH036-12	BC ZSM HYM 13716	2873439	BC ZSM HYM 13716	BC ZSM HYM 13716	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	65126	Ichneumoninae	500169	Oronotus	500170	Oronotus binotatus			Stefan Schmidt		Gravenhorst, 1829					C.J.Zwahals							A	M	S						51.913	5.13			1				Netherlands	Zeeland			Schoonrewoerd	1825142	http://www.boldsystems.org/pics/GBICH/BC_ZSM_HYM_13716+1340378194.jpg	temp	adult	SNSB, Zoologische Staatssammlung Muenchen	2015	CreativeCommons - Attribution Non-Commercial Share-Alike	SNSB, Zoologische Staatssammlung Muenchen													
