processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers	sequenceID	markercode	genbank_accession	nucleotides	trace_ids	trace_names	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
GBFCG630-15	KP842906	6162630	131212.04:::8	KP842906	Mined from GenBank, NCBI			20	Arthropoda	80	Ostracoda	399	Podocopida	1780	Cyprididae			401584	Physocypria	716365	Physocypria biwaensis														freshwater									taxon:1637719		35.2203	135.977							Japan																									
GBFCG631-15	KP842907	6162631	140127.13:::16	KP842907	Mined from GenBank, NCBI			20	Arthropoda	80	Ostracoda	399	Podocopida	1780	Cyprididae			401584	Physocypria	716365	Physocypria biwaensis														freshwater									taxon:1637719		35.2203	135.977							Japan																									
GBFCG632-15	KP842905	6162632	140307.06:::8	KP842905	Mined from GenBank, NCBI			20	Arthropoda	80	Ostracoda	399	Podocopida	1780	Cyprididae			401584	Physocypria	716365	Physocypria biwaensis														freshwater									taxon:1637719		35.2447	135.972							Japan																									
GBFCG633-15	KP842897	6162633	140127.17:::20	KP842897	Mined from GenBank, NCBI			20	Arthropoda	80	Ostracoda	399	Podocopida	1780	Cyprididae			401584	Physocypria	716365	Physocypria biwaensis														freshwater									taxon:1637719		35.2203	135.977							Japan																									
GBFCG634-15	KP842911	6162634	140307.16:::18	KP842911	Mined from GenBank, NCBI			20	Arthropoda	80	Ostracoda	399	Podocopida	1780	Cyprididae			401584	Physocypria	716365	Physocypria biwaensis														freshwater									taxon:1637719		35.2203	135.977							Japan																									
GBFCG635-15	KP842909	6162635	140307.1:::12	KP842909	Mined from GenBank, NCBI			20	Arthropoda	80	Ostracoda	399	Podocopida	1780	Cyprididae			401584	Physocypria	716365	Physocypria biwaensis														freshwater									taxon:1637719		35.2203	135.977							Japan																									
GBFCG636-15	KP842910	6162636	140307.13:::15	KP842910	Mined from GenBank, NCBI			20	Arthropoda	80	Ostracoda	399	Podocopida	1780	Cyprididae			401584	Physocypria	716365	Physocypria biwaensis														freshwater									taxon:1637719		35.2203	135.977							Japan																									
GBFCG637-15	KP842908	6162637	140307.09:::11	KP842908	Mined from GenBank, NCBI			20	Arthropoda	80	Ostracoda	399	Podocopida	1780	Cyprididae			401584	Physocypria	716365	Physocypria biwaensis														freshwater									taxon:1637719		35.2203	135.977							Japan																									
GBFCG638-15	KP842903	6162638	140127.1:::13	KP842903	Mined from GenBank, NCBI			20	Arthropoda	80	Ostracoda	399	Podocopida	1780	Cyprididae			401584	Physocypria	716365	Physocypria biwaensis														freshwater									taxon:1637719		35.2447	135.972							Japan																									
GBFCG639-15	KP842899	6162639	140307.11:::13	KP842899	Mined from GenBank, NCBI			20	Arthropoda	80	Ostracoda	399	Podocopida	1780	Cyprididae			401584	Physocypria	716365	Physocypria biwaensis														freshwater									taxon:1637719		35.2203	135.977							Japan																									
GBFCG640-15	KP842896	6162640	140307.04:::5	KP842896	Mined from GenBank, NCBI			20	Arthropoda	80	Ostracoda	399	Podocopida	1780	Cyprididae			401584	Physocypria	716365	Physocypria biwaensis														freshwater									taxon:1637719		35.2447	135.972							Japan																									
GBFCG641-15	KP842894	6162641	140127.06:::9	KP842894	Mined from GenBank, NCBI			20	Arthropoda	80	Ostracoda	399	Podocopida	1780	Cyprididae			401584	Physocypria	716365	Physocypria biwaensis														freshwater									taxon:1637719		35.2447	135.972							Japan																									
