processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers	sequenceID	markercode	genbank_accession	nucleotides	trace_ids	trace_names	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
GBPL10735-19	KP192753	9732400		KP192753	University of Guelph			5	Platyhelminthes	36	Trematoda	167	Plagiorchiida	532833	Prosthogonimidae			906181	Prosthogonimus	906182	Prosthogonimus cuneatus																																	Czech Republic																									
GBPL11005-19	KP192744	9732670		KP192744	University of Guelph			5	Platyhelminthes	36	Trematoda	167	Plagiorchiida	532833	Prosthogonimidae			906181	Prosthogonimus	906205	Prosthogonimus ovatus																									49.17	17.28							Czech Republic																									
GBPL11009-19	KP192739	9732674		KP192739	University of Guelph			5	Platyhelminthes	36	Trematoda	167	Plagiorchiida	532833	Prosthogonimidae			906181	Prosthogonimus	906205	Prosthogonimus ovatus																									49.26	17.17							Czech Republic																									
GBPL11010-19	KP192740	9732675		KP192740	University of Guelph			5	Platyhelminthes	36	Trematoda	167	Plagiorchiida	532833	Prosthogonimidae			906181	Prosthogonimus	906205	Prosthogonimus ovatus																									49.17	17.28							Czech Republic																									
GBPL11011-19	KP192747	9732676		KP192747	University of Guelph			5	Platyhelminthes	36	Trematoda	167	Plagiorchiida	532833	Prosthogonimidae			906181	Prosthogonimus	906205	Prosthogonimus ovatus																									49.17	17.28							Czech Republic																									
GBPL11012-19	KP192750	9732677		KP192750	University of Guelph			5	Platyhelminthes	36	Trematoda	167	Plagiorchiida	532833	Prosthogonimidae			906181	Prosthogonimus	906205	Prosthogonimus ovatus																									53.13	14.58							Poland																									
GBPL11013-19	KP192749	9732678		KP192749	University of Guelph			5	Platyhelminthes	36	Trematoda	167	Plagiorchiida	532833	Prosthogonimidae			906181	Prosthogonimus	906206	Prosthogonimus pellucidus																									49.17	17.28							Czech Republic																									
GBPL11014-19	KP192751	9732679		KP192751	University of Guelph			5	Platyhelminthes	36	Trematoda	167	Plagiorchiida	532833	Prosthogonimidae			906181	Prosthogonimus	906206	Prosthogonimus pellucidus																									53.25	14.31							Poland																									
GBPL11062-19	KP192752	9732727		KP192752	University of Guelph			5	Platyhelminthes	36	Trematoda	167	Plagiorchiida	532833	Prosthogonimidae			906181	Prosthogonimus	906182	Prosthogonimus cuneatus																																	Czech Republic																									
GBPL11089-19	KP192748	9732754		KP192748	University of Guelph			5	Platyhelminthes	36	Trematoda	167	Plagiorchiida	532833	Prosthogonimidae			906181	Prosthogonimus	906205	Prosthogonimus ovatus																									49.17	17.28							Czech Republic																									
GBPL11100-19	KP192742	9732765		KP192742	University of Guelph			5	Platyhelminthes	36	Trematoda	167	Plagiorchiida	532833	Prosthogonimidae			906181	Prosthogonimus	906182	Prosthogonimus cuneatus																									49.17	17.28							Czech Republic																									
GBPL11101-19	KP192746	9732766		KP192746	University of Guelph			5	Platyhelminthes	36	Trematoda	167	Plagiorchiida	532833	Prosthogonimidae			906181	Prosthogonimus	906182	Prosthogonimus cuneatus																									49.17	17.28							Czech Republic																									
