processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers	sequenceID	markercode	genbank_accession	nucleotides	trace_ids	trace_names	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
BCHYM13548-16	BC-ZSM-HYM-27443-E02	7236740	BC-ZSM-HYM-27443-E02	BC-ZSM-HYM-27443-E02	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	120810	Ctenopelmatinae	660763	Hypsantyx	660764	Hypsantyx lituratoria			Stefan Schmidt							R. Bauer							Adult	F							49.452	11.0767			312				Germany	Bavaria			Nuremberg	2910869	http://www.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-27443-E02+1468251740.jpg	Lateral		SNSB, Staatliche Naturwissenschaftliche Sammlungen Bayerns	2016	CreativeCommons - Attribution Non-Commercial Share-Alike	ZSM (SNSB, Zoologische Staatssammlung Muenchen)	Hymenoptera Photo Group												
BCHYM13549-16	BC-ZSM-HYM-27443-E03	7236741	BC-ZSM-HYM-27443-E03	BC-ZSM-HYM-27443-E03	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	120810	Ctenopelmatinae	660763	Hypsantyx	660764	Hypsantyx lituratoria			Stefan Schmidt							R. Bauer							Adult	F							49.2871	10.9946			443				Germany	Bavaria			Heidenberg	2910870	http://www.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-27443-E03+1468251748.jpg	Lateral		SNSB, Staatliche Naturwissenschaftliche Sammlungen Bayerns	2016	CreativeCommons - Attribution Non-Commercial Share-Alike	ZSM (SNSB, Zoologische Staatssammlung Muenchen)	Hymenoptera Photo Group												
BCHYM13550-16	BC-ZSM-HYM-27443-E04	7236742	BC-ZSM-HYM-27443-E04	BC-ZSM-HYM-27443-E04	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	120810	Ctenopelmatinae	660763	Hypsantyx	660764	Hypsantyx lituratoria			Stefan Schmidt							R. Bauer							Adult	M							49.452	11.0767			312				Germany	Bavaria			Nuremberg	2910871	http://www.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-27443-E04+1468251760.jpg	Lateral		SNSB, Staatliche Naturwissenschaftliche Sammlungen Bayerns	2016	CreativeCommons - Attribution Non-Commercial Share-Alike	ZSM (SNSB, Zoologische Staatssammlung Muenchen)	Hymenoptera Photo Group												
