processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers	sequenceID	markercode	genbank_accession	nucleotides	trace_ids	trace_names	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
BCHYM13310-16	BC-ZSM-HYM-22281-A02	7224078	BC-ZSM-HYM-22281-A02	BC-ZSM-HYM-22281-A02	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	92237	Banchinae	506988	Alloplasta	506989	Alloplasta piceator			Andrei E Humala		Thunberg, 1822					D. Doczkal							adult								48.0433	7.01444			1140				France		Hautes Vosges		Reserve naturelle national Frankenthal-Missheimle	2910631	http://www.boldsystems.org/pics/BCHYM/BC-ZSM-HYM-22281-A02+1468256968.jpg	Lateral		SNSB, Staatliche Naturwissenschaftliche Sammlungen Bayerns	2016	CreativeCommons - Attribution Non-Commercial Share-Alike	ZSM (SNSB, Zoologische Staatssammlung Muenchen)	Hymenoptera Photo Group												
BCHYM2609-14	BC ZSM HYM 20754	4621992	BC ZSM Hym 20754	BC ZSM Hym 20754	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	92237	Banchinae	506988	Alloplasta	506989	Alloplasta piceator			Andrei E Humala		Thunberg, 1822					Doczkal, Ssymank							Adult		S						47.555	7.666			360				Germany	Baden-Wuerttemberg			Grenzach-Wyhlen, Mal. -F. 17 Otto-Jaeggi-Weg, Spur	2359808	http://www.boldsystems.org/pics/BCHYM/BC_ZSM_Hym_20754+1401305962.jpg	Lateral		SNSB, Zoologische Staatssammlung Muenchen	2015	CreativeCommons - Attribution Non-Commercial Share-Alike	SNSB, Zoologische Staatssammlung Muenchen													
BCHYM3544-14	BC ZSM HYM 21404	4918535	BC ZSM HYM 21404	BC ZSM HYM 21404	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	92237	Banchinae	506988	Alloplasta	506989	Alloplasta piceator			Andrei E Humala		Thunberg, 1822					D. Doczkal, J. Voith							Adult								47.56	11.463			777				Germany	Bavaria			Lengries, Isartal E Vorderriss, Malaisefalle	2423787	http://www.boldsystems.org/pics/BCHYM/BC_ZSM_HYM_21404+1404935624.jpg	Lateral		SNSB, Zoologische Staatssammlung Muenchen	2015	CreativeCommons - Attribution Non-Commercial Share-Alike	SNSB, Zoologische Staatssammlung Muenchen													
BCHYM3547-14	BC ZSM HYM 21407	4918538	BC ZSM HYM 21407	BC ZSM HYM 21407	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	92237	Banchinae	506988	Alloplasta	506989	Alloplasta piceator			Andrei E Humala		Thunberg, 1822					D. Doczkal, J. Voith							Adult								47.564	11.475			808				Germany	Bavaria			Lengries, Isartal E Vorderriss, Malaisefalle	2423790	http://www.boldsystems.org/pics/BCHYM/BC_ZSM_HYM_21407+1404935820.jpg	Lateral		SNSB, Zoologische Staatssammlung Muenchen	2015	CreativeCommons - Attribution Non-Commercial Share-Alike	SNSB, Zoologische Staatssammlung Muenchen													
BCHYM3548-14	BC ZSM HYM 21408	4918539	BC ZSM HYM 21408	BC ZSM HYM 21408	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	92237	Banchinae	506988	Alloplasta	506989	Alloplasta piceator			Andrei E Humala		Thunberg, 1822					D. Dockzal							Adult								48.024	7.005			1140				France	Grand Est	Alsace		Hautes Vosges Reserve naturelle national Frankenth	2423791	http://www.boldsystems.org/pics/BCHYM/BC_ZSM_HYM_21408+1404935872.jpg	Lateral		SNSB, Zoologische Staatssammlung Muenchen	2015	CreativeCommons - Attribution Non-Commercial Share-Alike	SNSB, Zoologische Staatssammlung Muenchen													
GBICH263-13	BC ZSM HYM 16413	3097337	BC ZSM HYM 16413	BC ZSM HYM 16413	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	92237	Banchinae	506988	Alloplasta	506989	Alloplasta piceator			Kees Zwakhals		Thunberg, 1822					C.Gielis							A	M	S						51.922	5.1184			2				Netherlands	South Holland			Schoonrewoerd	1899086	http://www.boldsystems.org/pics/GBICH/BC_ZSM_HYM_16413+1355956298.jpg	temp	adult	SNSB, Zoologische Staatssammlung Muenchen	2015	CreativeCommons - Attribution Non-Commercial Share-Alike	SNSB, Zoologische Staatssammlung Muenchen													
GBICH264-13	BC ZSM HYM 16414	3097338	BC ZSM HYM 16414	BC ZSM HYM 16414	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	92237	Banchinae	506988	Alloplasta	506989	Alloplasta piceator			Kees Zwakhals		Thunberg, 1822					C.Gielis							A	F	S						51.922	5.1184			2				Netherlands	South Holland			Schoonrewoerd	1899087	http://www.boldsystems.org/pics/GBICH/BC_ZSM_HYM_16414+1355956316.jpg	temp	adult	SNSB, Zoologische Staatssammlung Muenchen	2015	CreativeCommons - Attribution Non-Commercial Share-Alike	SNSB, Zoologische Staatssammlung Muenchen													
GBICH667-17	BC-ZSM-HYM-27454-A02	7853234	BC-ZSM-HYM-27454-A02	BC-ZSM-HYM-27454-A02	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	92237	Banchinae	506988	Alloplasta	506989	Alloplasta piceator			Andrei E Humala		Thunberg, 1822					A. Humala							adult								61.615	30.58			4				Russia		Karelia		nr Meyeri	3138183	http://www.boldsystems.org/pics/GBICH/BC-ZSM-HYM-27454-A02+1497453920.jpg	Lateral		SNSB, Staatliche Naturwissenschaftliche Sammlungen Bayerns	2017	CreativeCommons - Attribution Non-Commercial Share-Alike	ZSM (SNSB, Zoologische Staatssammlung Muenchen)	Hymenoptera Photo Group												
GBICH702-17	BC-ZSM-HYM-27454-D01	7853269	BC-ZSM-HYM-27454-D01	BC-ZSM-HYM-27454-D01	SNSB, Zoologische Staatssammlung Muenchen			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	92237	Banchinae	506988	Alloplasta	506989	Alloplasta piceator			Andrei E Humala		Thunberg, 1822					A. Humala							adult								62.13	35.171			0				Russia		Karelia		Onezhskoye oz.	3138218	http://www.boldsystems.org/pics/GBICH/BC-ZSM-HYM-27454-D01+1497454008.jpg	Lateral		SNSB, Staatliche Naturwissenschaftliche Sammlungen Bayerns	2017	CreativeCommons - Attribution Non-Commercial Share-Alike	ZSM (SNSB, Zoologische Staatssammlung Muenchen)	Hymenoptera Photo Group												
NSMTP307-15	SMTP307	6214117	SMTP307		Swedish Museum of Natural History			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	92237	Banchinae	506988	Alloplasta	506989	Alloplasta piceator			Matthias Riedel		Thunberg, 1822					Sweedish Malaise Trap Project				Trapping period: 2005.vi.03 - 2005.vi.26		Malaise Trap		M		alvar pasture				Drymounted	56.547	16.577							Sweden		Oland	Moerbylanga kommun	Froesslunda alvar	2671946	http://www.boldsystems.org/pics/NSMTP/SMTP307+1357016400.jpg	Lateral			2015	CreativeCommons - Attribution Non-Commercial Share-Alike	University of Oslo	Gunnhild Marthinsen												
NSMTP308-15	SMTP308	6214118	SMTP308		Swedish Museum of Natural History			20	Arthropoda	82	Insecta	125	Hymenoptera	563	Ichneumonidae	92237	Banchinae	506988	Alloplasta	506989	Alloplasta piceator			Matthias Riedel		Thunberg, 1822					Sweedish Malaise Trap Project				Trapping period: 2005.vi.03 - 2005.vi.26		Malaise Trap		F		alvar pasture				Drymounted	56.547	16.577							Sweden		Oland	Moerbylanga kommun	Froesslunda alvar	2671947	http://www.boldsystems.org/pics/NSMTP/SMTP308+1357016400.jpg	Lateral			2015	CreativeCommons - Attribution Non-Commercial Share-Alike	University of Oslo	Gunnhild Marthinsen					8509527	NSMTP308-15[LepF1,LepR1]_F.ab1	http://trace.boldsystems.org/traceIO/bold.org/10328233	2015-10-15 11:57:17	Biodiversity Institute of Ontario	F	LepF1	COI-5P
