processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers	sequenceID	markercode	genbank_accession	nucleotides	trace_ids	trace_names	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
GBPL10645-19	KP869080	9732310		KP869080	University of Guelph			5	Platyhelminthes	36	Trematoda	142397	Opisthorchiida	165226	Opisthorchiidae			906158	Pseudamphistomum	906159	Pseudamphistomum truncatum																																	Poland																									
GBPL10654-19	KP869085	9732319		KP869085	University of Guelph			5	Platyhelminthes	36	Trematoda	142397	Opisthorchiida	165226	Opisthorchiidae			906158	Pseudamphistomum	906159	Pseudamphistomum truncatum																																	France																									
GBPL10660-19	KP869078	9732325		KP869078	University of Guelph			5	Platyhelminthes	36	Trematoda	142397	Opisthorchiida	165226	Opisthorchiidae			906158	Pseudamphistomum	906159	Pseudamphistomum truncatum																																	Denmark																									
GBPL10661-19	KP869079	9732326		KP869079	University of Guelph			5	Platyhelminthes	36	Trematoda	142397	Opisthorchiida	165226	Opisthorchiidae			906158	Pseudamphistomum	906159	Pseudamphistomum truncatum																																	United Kingdom																									
GBPL10662-19	KP869081	9732327		KP869081	University of Guelph			5	Platyhelminthes	36	Trematoda	142397	Opisthorchiida	165226	Opisthorchiidae			906158	Pseudamphistomum	906159	Pseudamphistomum truncatum																																	Sweden																									
GBPL10663-19	KP869082	9732328		KP869082	University of Guelph			5	Platyhelminthes	36	Trematoda	142397	Opisthorchiida	165226	Opisthorchiidae			906158	Pseudamphistomum	906159	Pseudamphistomum truncatum																																	Czech Republic																									
GBPL10664-19	KP869083	9732329		KP869083	University of Guelph			5	Platyhelminthes	36	Trematoda	142397	Opisthorchiida	165226	Opisthorchiidae			906158	Pseudamphistomum	906159	Pseudamphistomum truncatum																																	Germany																									
GBPL10665-19	KP869084	9732330		KP869084	University of Guelph			5	Platyhelminthes	36	Trematoda	142397	Opisthorchiida	165226	Opisthorchiidae			906158	Pseudamphistomum	906159	Pseudamphistomum truncatum																																	United Kingdom																									
GBPL7650-19	JQ716399	9729315		JQ716399	University of Guelph			5	Platyhelminthes	36	Trematoda	142397	Opisthorchiida	165226	Opisthorchiidae			906158	Pseudamphistomum	906159	Pseudamphistomum truncatum																																																										
